Massnahme	Beschreibung	Handlungsfeld	Themenfeld	Wirkung	Aufwand
Kommunikation Digitale Transformation	Regelmässige Updates zur Digitalisierung einführen, einen einfachen Kommunikationsplan entwickeln und eine zentrale Ansprechperson für Fragen zur Strategie definieren und sichtbar machen.	Kommunikation & Transparenz	Information & Transparenz, Kommunikation	8.3	3
Ressourcenabklärung mit klarem Konzept	Systematische Ressourcenabklärung pro Bereich: Wer ist motiviert? Wie werden Kapazitäten verbindlich geregelt? Wie wird Arbeit an Agents übergeben und wie organisieren sich die Teams intern?	Strategie & Steuerung	Befähigungen	8	4
Team Change Agents	Pro Abteilung eine motivierte Person als Change Agent identifizieren, die als Brückenbauer zwischen Task Force und Team wirkt – Feedback sammelt, Best Practices teilt und die digitale Kultur fördert.	Digitale Kultur & Befähigung	Befähigungen, Kommunikation	7.5	4
Einführung Digitalisierungsplattform	Aufbau einer modernen, interaktiven Plattform als zentraler Info- und Wissenshub zur Digitalisierung. Geht über das klassische Intranet hinaus: Toolübersicht, Massnahmentracking, KI-Hub, FAQ und Schulungsinhalte an einem Ort.	Kommunikation & Transparenz	Information & Transparenz, Kommunikation	8.5	5
Übersicht digitale Tools	Übersicht über alle digitalen Tools der SCNAT erarbeiten und klar kommunizieren. Inkl. strukturierter Bewertung zur Evaluation, welche Tools konsolidiert, ersetzt oder ergänzt werden sollten.	Kommunikation & Transparenz	Information & Transparenz	8.1	3
Konzept technologische Zukunft DB & Portale	Strategisches Konzept für die technologische Zukunft der SCNAT-Datenbank und Webportale: Modernisierung der Architektur, Entkopplung von DB und Portalen, Schnittstellen zu Drittsystemen und Grundlage für die IT-Roadmap.	Daten & Wissen	Beschaffung, Information & Transparenz	7.5	8
KI-Strategie	KI-Strategie für die SCNAT erarbeiten: Einsatzgebiete identifizieren, Leitplanken definieren, Pilotprojekte priorisieren und Governance-Regeln für den verantwortungsvollen Umgang mit KI-Tools festlegen.	Strategie & Steuerung	Befähigungen, Information & Transparenz	8.3	7
KI Lernpfad	SCNAT-spezifische KI-Schulungsinhalte anbieten, inkl. Reminder für Guidelines. Die Digitalisierungsplattform dient als ergänzender Kanal mit KI-Hub, Prompt-Tipps und Best Practices.	Digitale Kultur & Befähigung	Schulungen, Befähigungen	8.8	9
Anaylse Tools & Software	Systematische Analyse der bestehenden Toollandschaft: Welche Tools werden tatsächlich genutzt, wo gibt es Redundanzen, wo fehlen Lösungen? Entscheidungsgrundlage für Konsolidierung, Reduktion oder gezielte Erweiterung.	Infrastruktur & Beschaffung	Beschaffung, Information & Transparenz	7	5
Beschaffungsprozess definieren	Standardprozess für die Beschaffung digitaler Tools definieren (Sourcing-Strategie). Sekundär mit der SCNAT-DB verbunden, sofern Datenübernahme oder Anbindung an bestehende Systeme relevant ist.	Infrastruktur & Beschaffung	Beschaffung	7.8	4
Prozessdigitalisierung	Digitalisierung priorisierter Geschäftsprozesse auf Basis der Top-Prozess-Identifikation. Fokus auf Eventmanagement, Beitragswesen, Wahlgeschäft, Archivierung, Projektmanagement und Publikationsentwicklung als erste Kandidaten.	Prozesse & Methoden	Befähigungen	8.3	10
Lead Applikationslandschaft	Klärung der Verantwortlichkeiten für die gesamte Applikationslandschaft, Einbettung in den Beschaffungsprozess und das Betriebskonzept. Anpassung anhand der Ergebnisse der SCNAT-DB-Analyse.	Infrastruktur & Beschaffung	Beschaffung	8.8	6
Projektmanagement	Einführung einer einfachen, einheitlichen Projektmanagementmethode für die gesamte Organisation. Inkl. Schulung, Vorlagen und Toolempfehlung, um Projekte transparenter und nachvollziehbarer zu führen.	Prozesse & Methoden	Schulungen, Befähigungen	7.1	1
Digital Board und Umsetzungsprozess	Einheitlicher Prozess für die Umsetzung digitaler Initiativen auf einem Digital Board mit regelmässiger Evaluation, transparenter Priorisierung und klarer Verantwortungszuordnung.	Prozesse & Methoden	Kommunikation, Information & Transparenz	8.5	2
Einführung agile Methoden	Einführung in agile Methoden der Zusammenarbeit für Mitarbeitende. Praxisnahe Schulung zu Sprints, iterativem Arbeiten und Selbstorganisation in Teams, abgestimmt auf die SCNAT-Kultur.	Prozesse & Methoden	Schulungen, Befähigungen	4.5	5
Digitale Zusammenarbeit befähigen	Niederschwelliges Coaching-Angebot für Teams zur Verbesserung der digitalen Zusammenarbeit. Fokus auf bestehende Tools besser nutzen, gemeinsame Arbeitsweisen entwickeln und voneinander lernen.	Digitale Kultur & Befähigung	Schulungen, Befähigungen	5.8	3
Definition von Digitalem Mindset	In einem Workshop das Digitale Mindset der SCNAT definieren, inkl. zentraler Dimensionen und Indikatoren. Grundlage für gezielte Förderung und Messung der Veränderungsbereitschaft.	Digitale Kultur & Befähigung	Befähigungen	6	3
Verankerung Digitale Transformation	Formate für die nachhaltige Verankerung der Digitalen Transformation etablieren: z.B. Change Agents, Fokusgruppen oder eine Community of Practice als feste Gefässe im Arbeitsalltag.	Digitale Kultur & Befähigung	Befähigungen	6.5	5
Identifikation Top-Prozesse	Übersicht aller relevanten Geschäftsprozesse erstellen und übergeordnete Kriterien definieren, um die Relevanz und das Digitalisierungspotenzial der einzelnen Prozesse systematisch zu bewerten.	Prozesse & Methoden	Information & Transparenz	6.6	5
Vorlage Ablagestruktur	Einheitliche Vorlage für die Ablagestruktur erarbeiten mit klaren Regeln, Good Practices und begleitender Schulung. Ziel: konsistente und auffindbare Ablage über alle Bereiche hinweg.	Infrastruktur & Beschaffung	Schulungen	7.5	7
Digitaler Reifegrad messen	Regelmässige Erhebung des digitalen Reifegrads der SCNAT (z.B. alle 1.5 Jahre) als Standortbestimmung und Grundlage für die strategische Weiterentwicklung der Digitalisierung.	Strategie & Steuerung	Information & Transparenz	7.3	1
Data Governance	Data Governance weiterentwickeln: Klare Verantwortlichkeiten, Prozesse und Regeln für das Datenmanagement definieren. Aufbauend auf dem bestehenden Datenkonzept, mit Fokus auf Qualität und Nachvollziehbarkeit.	Daten & Wissen	Information & Transparenz	7	6
Kundengruppen definieren	Workshop mit Schlüsselpersonen zur Definition der zentralen Kundengruppen der SCNAT. Inkl. Bewertung der digitalen Bedürfnisse und Relevanz für die Priorisierung von Services und Kanälen.	Kommunikation & Transparenz	Kommunikation	7	2
Business Analyse Standards	Einfache, praxistaugliche Standards der Businessanalyse definieren, die bei neuen Projekten und Beschaffungen als Grundlage dienen. Ziel: fundierte Entscheide statt Ad-hoc-Vorgehen.	Prozesse & Methoden	Beschaffung	6.8	8
Dokumentation Top-Prozesse	Einführung eines einfachen BPM-Tools zur Visualisierung der wichtigsten Geschäftsprozesse. Start mit 5 Prozessen mit hohem Digitalisierungspotenzial als Pilotprojekt.	Prozesse & Methoden	Information & Transparenz	6.6	10
Digitales Mindset fördern	Niederschwellige Angebote wie Webinare oder Lunch-Sessions zur Förderung des Digitalen Mindsets. Ziel: Offenheit gegenüber digitalen Veränderungen in der ganzen Organisation stärken.	Digitale Kultur & Befähigung	Schulungen, Befähigungen	6.5	8
Angebot Digitale Kompetenzen	Übersicht über interne und externe Weiterbildungsangebote für digitale Kompetenzen erarbeiten, nach Kategorien strukturieren und eine zuständige Person für das Angebot definieren.	Digitale Kultur & Befähigung	Schulungen, Befähigungen	6.5	7
Definition Digitale Kompetenzen	Definition der relevanten digitalen Kompetenzen und zugehörigen Kategorien in einem Workshop mit Schlüsselpersonen. Grundlage für gezielte Weiterbildungsmassnahmen und Anforderungsprofile.	Digitale Kultur & Befähigung	Befähigungen	6.5	7
Datenkonzept	Umfassendes Datenkonzept erstellen: Übersicht aller relevanten Datenbestände, deren Ablageorte, Verantwortlichkeiten und Schnittstellen zwischen Systemen. Basis für bessere Datenqualität und einheitliches Datenmanagement.	Daten & Wissen	Information & Transparenz	6.3	5
Kundenzufriedenheit messen	Format etablieren, um die Zufriedenheit der Kundengruppen periodisch und systematisch zu messen. Erkenntnisse fliessen in die Weiterentwicklung der digitalen Services und Prozesse ein.	Kommunikation & Transparenz	Kommunikation	6.3	9
Konzept Informationsmanagement	Konzept und Übersicht über alle vorhandenen Informationsbestände der SCNAT erstellen, Lücken identifizieren und konkrete Handlungsempfehlungen für ein verbessertes Informationsmanagement ableiten.	Daten & Wissen	Information & Transparenz	4.4	6
